States,Number of hospitals in public sector,Number of hospitals in private sector,Total
Lakshadweep,300,126,426
Dadra & Nagar Haveli,619,322,941
Daman And Diu,240,1010,1250
Andaman Nicobar Islands,1075,219,1294
Manipur,1427,363,1790
Sikkim,1560,392,1952
Mizoram,1997,499,2496
Nagaland,1880,681,2561
Arunachal Pradesh,2404,220,2624
Goa,3012,1572,4584
Tripura,4429,238,4667
Puducherry,3569,1603,5172
Meghalaya,4457,787,5244
Chandigarh,3756,1875,5631
Jammu And Kashmir,7291,704,7995
Himachal Pradesh,12399,3641,16040
Chhattisgarh,9412,8018,17430
Uttarakhand,8512,15331,23843
Assam,17142,7036,24178
Odisha,18519,7131,25650
Jharkhand,10784,15712,26496
Bihar,11664,19193,30857
Haryana,11240,24901,36141
Delhi,24383,15072,39455
Punjab,17933,43064,60997
Gujarat,20172,44690,64862
Madhya Pradesh,31106,33833,64939
Andhra Pradesh,23138,60092,83230
Rajasthan,47054,46122,93176
Kerala,38004,61223,99227
Telangana,20983,78936,99919
West Bengal,78566,34969,113535
Tamil Nadu,77532,77843,155375
Maharashtra,51446,180293,231739
Karnataka,69721,192388,262109
Uttar Pradesh,76260,205142,281402
Ladakh,0,0,0
